indice;contexte;classe_de_motivation;motivation;evaluation;description
17;Attentes;Universalisme;Action sur la société;5;Le travail doit être l'occasion de faire évoluer la société en fonction de certaines valeurs morales
22;Relations;Universalisme;Appartenance;5;Le travail doit permettre de s'identifier et de s'intégrer au sein d'un groupe  ou d'une organisation, d'y être considéré en tant qu'individu et respecté pour ce que l'on est.  
16;Contenus;Universalisme;Déplacements;2;avoir des occasions fréquentes de déplacements en France ou  à l'étranger
8;Contenus;Bienveillance;Aide à  autrui;4;rendre service à  autrui et être utile dans son milieu social ou professionnel
10;Relations;Bienveillance;Collaboration;4;travailler avec des collègues, une hiérarchie, des partenaires sur un mode participatif 
14;Relations;Bienveillance;Contacts;3;être en relation avec un public, une clientèle, des collègues, des partenaires
15;Contenus;Conformité;Simplicité;3;Avoir des directives claires à partir desquelles il est facile d'agir
9;Conditions;Sécurité;Environnement physique;4;conditions physiques plutôt agréables  ne comportant pas de risque pour la  santé
3;Conditions;Sécurité;Avantages matériels;2;gagner de l'argent et  satisfaire ses besoins matèriels
5;Conditions;Sécurité;Sécurité de l'emploi;3;être assuré d'un emploi stable
0;Conditions;Pouvoir;Environnement matériel;4;conditions matérielles pour être en capacité d'agir
1;Relations;Réussite;Direction;4;"diriger les autres et veiller à  ce que les opérations soient bien planifiées et bien exécutées ; avoir des responsabilités"
20;Attentes;Réussite;Expression;4;Le travail doit donner la possibilité de s'exprimer par la parole ou par l'écrit
21;Attentes;Réussite;Réalisation de soi;5;Le travail doit fournir l'occasion d'utiliser et de développer ses compétences et de trouver un épanouissement personnel dans le travail
7;Attentes;Hédonisme;Prestige;4;impressionner favorablement les autres, inspirer l'admiration, imposer le respect
24;Attentes;Hédonisme;Vocation;5;"Exercer une activité en rapport avec mes centres d'intérêts majeurs ; travailler dans un domaine qui me tient profondément à  coeur."
4;Contenus;Hédonisme;Diversité;3;variété et changement, faire beaucoup de choses différentes
12;Conditions;Hédonisme;Temps libre;3;temps libre suffisant pour la vie extra-professionnelle
19;Conditions;Hédonisme;Exercice physique;3;Le travail doit être l'occasion de s'épanouir à  travers les activités physiques
13;Contenus;Stimulation;Technicité;4;utiliser des équipements scientifiques et techniques
23;Relations;Stimulation;Emulation;4;Avoir une activité à  travers laquelle je peux tester ma capacité à  me mettre en concurrence avec d'autres.
2;Attentes;Autonomie;Esthétique;4;créer de belles choses, aménager l'environnement d'une manière harmonieuse
11;Relations;Autonomie;Indépendance;4;Avoir certain degré d'autonomie, faire les choses à  sa manière et être soi-même
18;Relations;Autonomie;Possibilité de s'isoler;3;avoir la possibilité d'être tout seul pour faire son travail quand on le souhaite
