Discipline;Savoir;Entreprise;Mission;Expérience
ALC;Arts graphique;Cofely;Actuelles;Evaluer la qualité des valeurs archivées
ALC;Edition;Cofely;Actuelles;Evaluer la qualité des valeurs archivées
ALC;Documentation;Cofely;Actuelles;Créer des flux pour interfacer des applications
EFG;Marchés;Axima;Secondaires;Ajuster les contrats d'achat d'énergie
EFG;Gestion;Cofely;2011 à  2012;Etablir les budgets énergétiques des bâtiments tertiaires
EFG;Business stratégie;Cofely;Actuelles;Auto apprendre les performances des installations
MPC;Math. et stat.;Cofely;2011 à  2012;Développer une méthode statistique
MPC;Elec. et thermo.;Cofely;2008 à  2011;Quantifier les gains de pilotage énergétique
PRD;R&D;Cofely;2008 à  2011;Quantifier les gains de pilotage énergétique
PRD;Outils de prod.;Axima;Secondaires;Ajuster la production des équipements aux besoins
SVT;Botanique;Personnelle;Sylviculture;A développer
SVT;Environnement;Personnelle;Antropologie;A développer
SVT;Météorologie;Cofely;Actuelles;Etudier l'impact climatique sur le nombre d'appels client
SHC;Pédagogie;ENI Metz;Unique;Enseigner la thermodynamique appliquée
SHC;Sport et loisirs;Personnelle;Itinérance;A développer
TEC;Informatique;Cofely;2011 à  2012;Développer une méthode statistique
TEC;Automatiqu;Cofely;Actuelles;Auto apprendre les performances des installations
TEC;Electrotech.;Axima;Principale;Réaliser les cahiers de réserves techniques
TEC;Energie;Cofely;2011 à  2012;Etablir les budgets énergétiques des bà¢timents tertiaires
